"Date","GEO","VALUE","val_norm","Components","Unit of measure"
2013-12-01,"Canada",2.86,0.0286,"InMort_var","Interest rate (percentage)"
2013-12-01,"Canada",430,4.3e+08,"InMort_fix0_1","Dollars (in millions)"
2013-12-01,"Canada",5.08,0.0508,"InMort_fix0_1","Interest rate (percentage)"
2013-12-01,"Canada",1050,1.05e+09,"InMort_fix1_3","Dollars (in millions)"
2013-12-01,"Canada",2.87,0.0287,"InMort_fix1_3","Interest rate (percentage)"
2013-12-01,"Canada",1150,1.15e+09,"InMort_fix3_5","Dollars (in millions)"
2013-12-01,"Canada",3.16,0.0316,"InMort_fix3_5","Interest rate (percentage)"
2013-12-01,"Canada",1936,1.936e+09,"InMort_fix5","Dollars (in millions)"
2013-12-01,"Canada",3.5,0.035,"InMort_fix5","Interest rate (percentage)"
2013-12-01,"Canada",11538,1.1538e+10,"UnMort_total","Dollars (in millions)"
2013-12-01,"Canada",3.16,0.0316,"UnMort_total","Interest rate (percentage)"
2013-12-01,"Canada",4367,4.367e+09,"UnMort_var","Dollars (in millions)"
2013-12-01,"Canada",2.85,0.0285,"UnMort_var","Interest rate (percentage)"
2013-12-01,"Canada",331,3.31e+08,"UnMort_fix0_1","Dollars (in millions)"
2013-12-01,"Canada",4.75,0.0475,"UnMort_fix0_1","Interest rate (percentage)"
2013-12-01,"Canada",2293,2.293e+09,"UnMort_fix1_3","Dollars (in millions)"
2013-12-01,"Canada",3.07,0.0307,"UnMort_fix1_3","Interest rate (percentage)"
2013-12-01,"Canada",2386,2.386e+09,"UnMort_fix3_5","Dollars (in millions)"
2013-12-01,"Canada",3.12,0.0312,"UnMort_fix3_5","Interest rate (percentage)"
2013-12-01,"Canada",2161,2.161e+09,"UnMort_fix5","Dollars (in millions)"
2013-12-01,"Canada",3.67,0.0367,"UnMort_fix5","Interest rate (percentage)"
2013-12-01,"Canada",14340,1.434e+10,"Credit_rate","Dollars (in millions)"
2013-12-01,"Canada",5.51,0.0551,"Credit_rate","Interest rate (percentage)"
2014-01-01,"Canada",5694,5.694e+09,"InMort_total","Dollars (in millions)"
2014-01-01,"Canada",3.28,0.0328,"InMort_total","Interest rate (percentage)"
2014-01-01,"Canada",1527,1.527e+09,"InMort_var","Dollars (in millions)"
2014-01-01,"Canada",2.83,0.0283,"InMort_var","Interest rate (percentage)"
2014-01-01,"Canada",363,3.63e+08,"InMort_fix0_1","Dollars (in millions)"
2014-01-01,"Canada",5.19,0.0519,"InMort_fix0_1","Interest rate (percentage)"
2014-01-01,"Canada",1062,1.062e+09,"InMort_fix1_3","Dollars (in millions)"
2014-01-01,"Canada",2.94,0.0294,"InMort_fix1_3","Interest rate (percentage)"
2014-01-01,"Canada",1052,1.052e+09,"InMort_fix3_5","Dollars (in millions)"
2014-01-01,"Canada",3.17,0.0317,"InMort_fix3_5","Interest rate (percentage)"
2014-01-01,"Canada",1691,1.691e+09,"InMort_fix5","Dollars (in millions)"
2014-01-01,"Canada",3.55,0.0355,"InMort_fix5","Interest rate (percentage)"
2014-01-01,"Canada",10697,1.0697e+10,"UnMort_total","Dollars (in millions)"
