"Date","GEO","VALUE","val_norm","SCALAR_FACTOR","UOM","Census_type","Family_type","Statistics"
2016-07-01,"Victoria",6320,6320,"units","Number","All census families","Family types with 1 child","Number of persons aged 65 years and over"
2016-07-01,"Victoria",89720,89720,"units","Dollars","All census families","Family types with 1 child","Median before-tax family income"
2016-07-01,"Victoria",79020,79020,"units","Dollars","All census families","Family types with 1 child","Median after-tax family income"
2016-07-01,"Victoria",18850,18850,"units","Number","All census families","Family types with 2 children","Number of families"
2016-07-01,"Victoria",72230,72230,"units","Number","All census families","Family types with 2 children","Number of persons"
2016-07-01,"Victoria",28520,28520,"units","Number","All census families","Family types with 2 children","Number of persons aged 0 to 17 years"
2016-07-01,"Victoria",42890,42890,"units","Number","All census families","Family types with 2 children","Number of persons aged 18 to 64 years"
2016-07-01,"Victoria",810,810,"units","Number","All census families","Family types with 2 children","Number of persons aged 65 years and over"
2016-07-01,"Victoria",114860,114860,"units","Dollars","All census families","Family types with 2 children","Median before-tax family income"
2016-07-01,"Victoria",99280,99280,"units","Dollars","All census families","Family types with 2 children","Median after-tax family income"
2016-07-01,"Victoria",5580,5580,"units","Number","All census families","Family types with 3 or more children","Number of families"
2016-07-01,"Victoria",28580,28580,"units","Number","All census families","Family types with 3 or more children","Number of persons"
2016-07-01,"Victoria",14930,14930,"units","Number","All census families","Family types with 3 or more children","Number of persons aged 0 to 17 years"
2016-07-01,"Victoria",13560,13560,"units","Number","All census families","Family types with 3 or more children","Number of persons aged 18 to 64 years"
2016-07-01,"Victoria",80,80,"units","Number","All census families","Family types with 3 or more children","Number of persons aged 65 years and over"
2016-07-01,"Victoria",106700,106700,"units","Dollars","All census families","Family types with 3 or more children","Median before-tax family income"
2016-07-01,"Victoria",93600,93600,"units","Dollars","All census families","Family types with 3 or more children","Median after-tax family income"
2016-07-01,"Victoria",88810,88810,"units","Number","Couple families","Family types with or without children","Number of families"
2016-07-01,"Victoria",241270,241270,"units","Number","Couple families","Family types with or without children","Number of persons"
2016-07-01,"Victoria",46050,46050,"units","Number","Couple families","Family types with or without children","Number of persons aged 0 to 17 years"
2016-07-01,"Victoria",148560,148560,"units","Number","Couple families","Family types with or without children","Number of persons aged 18 to 64 years"
2016-07-01,"Victoria",46660,46660,"units","Number","Couple families","Family types with or without children","Number of persons aged 65 years and over"
2016-07-01,"Victoria",97580,97580,"units","Dollars","Couple families","Family types with or without children","Median before-tax family income"
2016-07-01,"Victoria",85220,85220,"units","Dollars","Couple families","Family types with or without children","Median after-tax family income"
